b,e,d,a,alignment,families
17,23,16,15,0.784766432,dr_d_7;parity_11;prime_edge
17,24,17,17,0.763195311,dr_d_8;parity_10;prime_edge
18,1,19,20,0.836825097,dr_d_1;parity_01;composite_edge
18,2,20,22,0.853066687,dr_d_2;parity_00;prime_edge
18,3,21,24,0.866025404,dr_d_3;parity_01;prime_edge
18,4,22,2,0.982946374,dr_d_4;parity_00;composite_edge
18,5,23,4,0.969616728,lucas_seed;dr_d_5;parity_01;prime_edge
18,6,24,6,0.952579344,dr_d_6;parity_00;composite_edge
18,7,1,8,0.878458592,dr_d_1;parity_01;prime_edge
18,8,2,10,0.892607398,dr_d_2;parity_00;composite_edge
18,9,3,12,0.898026510,dr_d_3;parity_01;composite_edge
18,10,4,14,0.897235447,dr_d_4;parity_00;composite_edge
18,11,5,16,0.892268598,dr_d_5;parity_01;prime_edge
18,12,6,18,0.884651737,dr_d_6;parity_00;composite_edge
18,13,7,20,0.875473787,dr_d_7;parity_01;prime_edge
18,14,8,22,0.865484645,dr_d_8;parity_00;composite_edge
18,15,9,24,0.855186110,dr_d_9;parity_01;composite_edge
18,16,10,2,0.919254720,dr_d_1;parity_00;composite_edge
18,17,11,4,0.903696114,dr_d_2;parity_01;prime_edge
18,18,12,6,0.884651737,dr_d_3;parity_00;composite_edge
18,19,13,8,0.863506052,dr_d_4;parity_01;prime_edge
18,20,14,10,0.841334141,dr_d_5;parity_00;composite_edge
18,21,15,12,0.818923025,dr_d_6;parity_01;composite_edge
18,22,16,14,0.796819073,dr_d_7;parity_00;composite_edge
